question,option_a,option_b,option_c,option_d,correct,time,explanation
Quelle est la longueur d’une adresse IPv4 ?,16 bits,32 bits,64 bits,128 bits,B,180,Une adresse IPv4 est codée sur 32 bits.
Quelle est la fonction principale d’un masque de sous-réseau ?,Identifier une machine,Indiquer la vitesse du réseau,Déterminer la partie réseau et la partie hôte,Augmenter le nombre d’hôtes,C,180,Le masque sépare réseau et hôte.
"Avec un masque /24, combien d’hôtes sont utilisables ?",256,255,254,128,C,180,Un /24 laisse 8 bits hôtes → 2^8 - 2 = 254.
Quelle est l’adresse réseau de 192.168.1.25 /24 ?,192.168.1.1,192.168.1.0,192.168.1.255,192.168.1.128,B,180,On met les bits hôtes à 0 → 192.168.1.0.
Quelle est l’adresse broadcast de 10.0.5.20 /24 ?,10.0.5.0,10.0.5.1,10.0.5.255,10.0.5.254,C,180,On met les bits hôtes à 1 → 10.0.5.255.
Combien d’hôtes utilisables dans un réseau /26 ?,32,64,62,30,C,180,Un /26 → 6 bits hôtes → 2^6 - 2 = 62.
Deux adresses 192.168.1.25 /25 et 192.168.1.200 /25 sont-elles dans le même réseau ?,"Oui, car elles appartiennent toutes les deux à 192.168.1.0/25","Oui, car elles sont dans la même classe d’adresse (classe C)","Non, car l’une est dans 192.168.1.0/25 et l’autre dans 192.168.1.128/25","Non, car les adresses IP différentes ne peuvent jamais être dans le même réseau",C,180,"192.168.1.25 appartient à 192.168.1.0/25, 192.168.1.200 à 192.168.1.128/25 → réseaux différents."
Quel est le masque correspondant à /25 ?,255.255.255.0,255.255.255.128,255.255.255.192,255.255.255.224,B,180,/25 = 25 bits à 1 → 255.255.255.128.
"Si on veut connecter 50 appareils, quel masque minimal utiliser ?",/24,/25,/26,/27,C,180,50 hôtes nécessitent au moins 6 bits hôtes → /26.
Quelle est l’adresse de broadcast de 192.168.1.0 /25 ?,192.168.1.127,192.168.1.128,192.168.1.255,192.168.1.63,A,180,"Pour /25, plage 0–127 → broadcast = 127."
Combien d’hôtes utilisables dans un /30 ?,4,2,6,0,B,180,/30 → 2 bits hôtes → 2^2 - 2 = 2.
Quelle plage d’adresses est valide pour 192.168.10.64 /26 ?,192.168.10.64–127,192.168.10.65–126,192.168.10.64–126,192.168.10.65–127,B,180,"Hôtes = 65 à 126, réseau = 64, broadcast = 127."
Que signifie CIDR ?,Classless Inter-Domain Routing,Computer IP Domain Routing,Common Internet Data Routing,Centralized IP Distribution Rule,A,180,CIDR = Classless Inter-Domain Routing.
"Si une IP appartient à un autre réseau, que faut-il pour communiquer ?",Switch,Hub,Routeur,Câble croisé,C,180,Un routeur est nécessaire pour relier deux réseaux différents.
Quelle est l’adresse réseau de 192.168.1.200 /26 ?,192.168.1.128,192.168.1.192,192.168.1.0,192.168.1.255,A,180,/26 couvre 128–191 → réseau = 192.168.1.128.
Est-ce que 255.255.255.141 est un masque valide ?,Oui,Non,Seulement en IPv6,Seulement en WiFi,B,180,Un masque valide doit avoir uniquement des 1 consécutifs suivis de 0 consécutifs en binaire. 255.255.255.141 = 10001101 (pas consécutif) → non valide.
