question,option_a,option_b,option_c,option_d,correct,explanation,time
Une résistance chauffante est :,Une charge linéaire,Une charge non linéaire,Un filtre actif,Un générateur d’harmoniques,A,"La résistance est une charge linéaire, elle ne déforme pas le courant.",120
Une lampe DEL bas de gamme est :,Une charge linéaire,Une charge non linéaire,Un moteur,Un condensateur,B,Les lampes DEL avec électronique interne sont des charges non linéaires.,120
Un moteur asynchrone branché directement au réseau est :,Une charge non linéaire,Une charge linéaire,Un générateur de courant continu,Un filtre passif,B,Un moteur classique branché directement se comporte de manière linéaire.,120
Un ordinateur de bureau est :,Une charge linéaire,Une charge non linéaire,Une charge résistive,Un équipement de mesure,B,L’alimentation à découpage des ordinateurs déforme le courant → charge non linéaire.,120
Quel équipement industriel est fortement générateur d’harmoniques ?,Un four à arc,Un transformateur,Une résistance chauffante,Un moteur synchrone,A,Les fours à arc sont une des principales sources d’harmoniques dans l’industrie.,120
Qu'est-ce qu'un harmonique dans un réseau électrique?,Une tension continue superposée,Une composante à fréquence multiple de la fondamentale,Un bruit aléatoire du réseau,Un défaut d'isolement,B,"Un harmonique est une composante de fréquence multiple de la fondamentale (ex: 120 Hz, 180 Hz si la fondamentale est 60 Hz).",180
"Dans un réseau de 60 Hz, quelle est la fréquence du 7e harmonique?",300 Hz,360 Hz,420 Hz,480 Hz,C,Fréquence = rang × fondamentale → 7 × 60 = 420 Hz.,180
Que mesure le THD (Total Harmonic Distortion)?,La puissance active du réseau,La part de distorsion harmonique par rapport à la fondamentale,Le facteur de puissance global,La fréquence moyenne des harmoniques,B,Le THD mesure le taux de distorsion harmonique d’un signal par rapport à sa fondamentale.,180
Quel effet peut provoquer une forte présence d’harmoniques d’ordre 3 dans un réseau triphasé?,Un courant important dans le neutre,Un effondrement de la tension,Une surtension dans les phases,Un déclenchement différentiel instantané,A,"Les harmoniques d’ordre 3 et multiples s’additionnent dans le neutre, pouvant le surcharger.",180
"Parmi ces solutions, laquelle permet de réduire les harmoniques?",Ajouter un filtre passif ou actif,Augmenter la tension du réseau,Supprimer les charges linéaires,Raccourcir les câbles d’alimentation,A,Les filtres passifs (LC) ou actifs sont conçus pour atténuer ou compenser les harmoniques.,180
Quel phénomène peut amplifier une harmonique existante?,La résonance avec des condensateurs,La mise en parallèle de résistances,La réduction du courant efficace,Le branchement en monophasé,A,Les condensateurs peuvent entrer en résonance avec certaines harmoniques et les amplifier.,180
Pourquoi le courant dans le neutre peut-il être élevé avec des charges non linéaires?,Parce que les harmoniques d’ordre 3 et multiples s’annulent dans le neutre,Parce que les harmoniques d’ordre 3 et multiples s’additionnent dans le neutre,Parce que le neutre est toujours parcouru par le courant de phase,Parce que les charges linéaires provoquent des courants continus,B,"Les harmoniques d’ordre 3 (et multiples) sont en phase dans les trois phases, ils s’additionnent dans le neutre au lieu de s’annuler, ce qui peut le surcharger.",180
"Dans un réseau de 50 Hz, quelle est la fréquence du 11e harmonique ?",500 Hz,550 Hz,600 Hz,650 Hz,B,Fréquence = rang × fondamentale → 11 × 50 = 550 Hz.,180
"Si la valeur efficace de la fondamentale est 100 V et que la valeur efficace de l’ensemble des harmoniques est 40 V, quel est le THD ?",20 %,30 %,40 %,50 %,C,"THD = (EH / EF) × 100 % = (40 / 100) × 100 = 40 %. Correction : ATTENTION, ici on doit utiliser √(ΣEn²). Si EH = 40 V total, THD = 40 / 100 = 40 %. Réponse correcte = C.",240
Quelle est la valeur efficace totale E si EF = 230 V et EH = 50 V ?,235 V,240 V,235.3 V,235.5 V,D,E² = EF² + EH² → √(230² + 50²) ≈ 235.5 V.,240
