question,option_a,option_b,option_c,option_d,correct,time,explanation
"Dans le modèle Purdue, à quel niveau se trouvent les automates programmables (PLC)?",Niveau 0 : Capteurs/actionneurs,Niveau 1 : Contrôleurs logiques programmables,Niveau 2 : SCADA/HMI,Niveau 3 : MES,B,20,"Les PLCs appartiennent au niveau 1 du modèle Purdue. / Les PLCs se trouvent au niveau 1, juste au-dessus des capteurs et actionneurs (niveau 0)."
Quel est le rôle principal du niveau 3 (MES/MOM) dans le modèle Purdue?,Gérer les capteurs et actionneurs,Fournir des données pour la planification stratégique,Optimiser la production et exécuter les ordres de fabrication,Surveiller les flux physiques dans les tuyaux,C,20,"Le niveau 3 optimise la production grâce aux systèmes MES/MOM. / Le niveau 3 (MES/MOM) n'agit pas directement sur les capteurs ni sur la stratégie, mais sur l’optimisation de la production."
Quelle topologie utilise un « jeton » pour permettre la communication?,Bus,Étoile,Anneau (Token Ring / DLR),Maillée,C,20,"Dans une topologie en anneau, un jeton circule pour autoriser l’envoi de messages. / Seule la topologie en anneau fonctionne avec un jeton qui circule (Token Ring)."
"Dans une topologie en étoile, quel est le rôle du point central?",Collecter les données et les stocker,Recevoir les messages et les rediriger vers la bonne machine,Fournir des adresses IP,Servir uniquement d’alimentation électrique,B,20,Le point central redirige les messages vers la bonne machine. / Le point central dans une topologie en étoile agit comme un routeur/commutateur pour rediriger les messages.
Une adresse IP 192.168.10.25/24 appartient au réseau…,192.168.0.0,192.168.10.0,192.168.25.0,255.255.255.0,B,20,Le masque /24 couvre 192.168.10.0 à 192.168.10.255. / L'adresse 192.168.10.25/24 est dans le réseau 192.168.10.0 (masque 255.255.255.0).
Que permet le protocole DHCP?,Créer un tunnel sécurisé entre deux réseaux,Attribuer automatiquement une adresse IP aux équipements du réseau,Vérifier les collisions de trames Ethernet,Fournir une adresse MAC à chaque machine,B,20,"Le DHCP attribue automatiquement les adresses IP. / DHCP n’assigne pas de MAC ni de tunnels, il attribue automatiquement des adresses IP aux clients."
Pourquoi utilise-t-on des modules Point-IO dans une mini-usine?,Pour réduire le coût du câblage en déportant les entrées/sorties,Pour remplacer les automates programmables,Pour connecter des E/S déportées via Ethernet/IP de façon flexible et modulaire,Pour gérer l’adresse MAC des équipements,C,20,"Les Point-IO permettent d'ajouter des E/S déportées via Ethernet/IP. / Le rôle des Point-IO est de gérer des E/S déportées via Ethernet/IP, pas de remplacer les automates."
"Dans le modèle Purdue, quel niveau est associé aux SCADA et aux HMI?",Niveau 0,Niveau 1,Niveau 2,Niveau 4,C,20,"SCADA et HMI se trouvent au niveau 2. / Les SCADA et HMI appartiennent au niveau 2, car ils supervisent les PLC (niveau 1)."
"Dans le modèle Purdue, quel niveau correspond aux systèmes ERP (planification des ressources de l’entreprise)?",Niveau 4,Niveau 2,Niveau 1,Niveau 5,A,20,"Les systèmes ERP se situent au niveau 4. / Les ERP (planification) sont au niveau 4, pas dans la partie opérationnelle (niveau 1-3)."
Quels sont les deux critères les plus importants pour choisir un réseau industriel?,Couleur des câbles et type de prise,Temps de réponse et volume d’informations,Nombre d’utilisateurs et vitesse du ventilateur,Adresse MAC et masque,B,20,Temps de réponse et volume d’infos définissent la performance requise. / Les bons critères sont le temps de réponse et le volume d’informations à transmettre.
À quel type de réseau correspond le besoin d’un temps de réponse très court (<10 ms)?,Réseau d’entreprise,Réseau d’atelier,Réseau de machine (API ↔ capteurs/actionneurs),Réseau Internet,C,20,Les réseaux de machine exigent un temps de réponse très court. / Seul le réseau de machine (API ↔ capteurs/actionneurs) nécessite un temps de réponse <10 ms.
Quel est l’avantage principal d’une topologie maillée?,Réduction du coût de câblage,Tolérance aux pannes (chemins alternatifs possibles),Transmission plus rapide des données,Facilité d’installation,B,20,Une topologie maillée permet la tolérance aux pannes. / Le vrai avantage est la tolérance aux pannes grâce à la redondance des chemins.
Quelle topologie est la plus utilisée sur Internet?,Anneau,Étoile/arborescence,Bus,Hybride,B,20,"Internet est basé sur des structures étoile/arborescence interconnectées. / La topologie dominante est l’étoile/arborescence, pas l’anneau ou le bus."
Qu’est-ce qu’une adresse MAC?,Une adresse physique unique assignée à la carte réseau,Une adresse logique attribuée par le DHCP,Un protocole de communication,Un masque de sous-réseau,A,20,"Une MAC est une adresse physique unique gravée sur la carte réseau. / Une adresse MAC est physique et unique, contrairement aux adresses IP attribuées par DHCP."
Que fait un masque de sous-réseau?,Change l’adresse MAC,Détermine quelle partie de l’adresse IP correspond au réseau et quelle partie correspond aux hôtes,Attribue automatiquement des adresses IP,Protège le réseau des cyberattaques,B,20,Le masque sépare la partie réseau de la partie hôte. / Un masque de sous-réseau définit la portion réseau et hôte d’une adresse IP.
